At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,Yes,Student ,Female,Habiganj,Sylhet,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 12,000 - 16,000",৭০০০-৮০০০,"7,500","3,000","3,000",Content quality,Quality of teachers,Online community of learners,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,10,"< BDT 12,000",7500+,"7,500",Just 10 minutes school crush course ,0,Content quality,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
District City,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 24,000 - 45,000",7000-8000,"7,500","8,000","8,000",Content quality,Quality of teachers,Safety or health related reasons,,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,Lower cost,,,,
Village/Sub-district,Yes,Student ,Female,Feni,Chittagong,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,3,"BDT 16,000 - 24,000",7000-8000,"7,500",3000-4000,"3,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 08,Upto Grade 10,"Public school, government run",Loan,Below 60,Shared mobile phone within the family,3,5,"BDT 16,000 - 24,000","7,500","7,500",Math 1000 ,"1,000","Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Moulvibazar,Sylhet,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 12,000 - 16,000","7,500","7,500","Physics-500tk,chemistry-600tk, higher math - 500 tk","1,600",Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,9,"< BDT 12,000","7,500","7,500","4,000","4,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Tangail,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Other,70 to 80,Own mobile phone,4,10,"< BDT 12,000",৭-৮ হাজার,"7,500",শুধু কলেজের জন্য ২ হাজার,"2,000",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,9,"< BDT 12,000","7,500","7,500","Physics 8000,HM8000 1st paper ","16,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Female,Chittagong,Chittagong,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,10,"BDT 16,000 - 24,000",7000/8000,"7,500","physics-(1000),chemistry (800),Biology (1500),Higher math (900),English (1000)...","5,200",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,No,Student ,Male,Bhola,Barisal,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",7000/8000,"7,500","2,500","2,500",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Jessore,Khulna,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,6,"BDT 16,000 - 24,000","5,000-10,000","7,500",Physics chemistry English =3000,"3,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,7,"BDT 16,000 - 24,000","2,228,163","7,500","7,000","7,000","Convenience, no need to travel",Cheaper cost of access,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,Lower cost,,,,
Village/Sub-district,Yes,Student ,Female,Chandpur,Chittagong,Grade 10,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",5-10 k,"7,500","8,500","8,500",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Chandpur,Chittagong,Grade 11,Upto Grade 10,Private school,Other,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","7,500","7,500","কলেজ বেতন -৩০০,কোসিং-৮০০,প্রাইভেট -৮০০,হোস্টেল -৩৫০০","1,600",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,,
Village/Sub-district,Yes,Student ,Male,Dinajpur,Rangpur,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",7000- 8000,"7,500","6,000","6,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Divisional City/City Corporation,No,Student ,Female,Narayanganj,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,5,10,"BDT 24,000 - 45,000",7-8hajar er kacha kachi,"7,500",কোচিংয়ের বেতন এবং ভাড়া সহ ৪ হাজার এর মতন ,"4,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Female,Nilfamari,Rangpur,Grade 11,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"BDT 24,000 - 45,000",Amr pisone 7500 tk r amr vai er pisone 13pp,"7,500","5,500","5,500",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Male,Narayanganj,Dhaka,Grade 11,Up to Grade 12,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,2,8,"BDT 12,000 - 16,000",7300 tk,"7,300",1200tk,"1,200",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Village/Sub-district,Yes,Student ,Male,Gopalganj,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,7,"< BDT 12,000",7200/=,"7,200",5000/=,"5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,
Village/Sub-district,Yes,Student ,Male,Noakhali,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"< BDT 12,000","7,200","7,200","3,500","3,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Jessore,Khulna,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,8,"BDT 24,000 - 45,000",average expense 7200,"7,200",N/A,0,Quality of teachers,Travel restriction to in-person centers,Cheaper cost of access,,,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,5,10,"BDT 12,000 - 16,000",7120 tk,"7,120",টেন মিনিট এর পেইড কোর্স করি তাই টিউশন/কোচিং দরকার হয় না,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More classes for low connectivity locations (lower data usage),,,,,
Divisional City/City Corporation,Yes,Student ,Male,Sylhet,Sylhet,Grade 09,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,7,"BDT 16,000 - 24,000",Around 7050,"7,050","4,500","4,500",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Male,Sirajganj,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,8,"< BDT 12,000","7,000","7,000","3,500","3,500",Content quality,"Convenience, no need to travel",,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
